id,title,author,tags,lyrics,theme,updated_at,updated_by,version,歌詞連結
jesus-i-love-you,"耶穌，我愛袮 Jesus, I Love You",傳耶穌,敬拜,,midnight,,,0,
be-still-for-the-presence-of-the-lord,在主前靜默 Be Still for The Presence of The Lord,恩頌聖歌 David Evans,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/sounds_of_grace443.html
lord-i-worship-you,"主我敬拜祢 Lord, I Worship You",讚美之泉,敬拜,,midnight,,,0,
worship-the-king-of-all-ages,敬拜萬世之王 Worship The King of All Ages,我心旋律,敬拜,,midnight,,,0,
revere-your-glory,敬畏祢的榮耀 Revere Your Glory,新心音樂,敬拜,,midnight,,,0,
your-beautiful-name,祢的名何其美 Your Beautiful Name,新心音樂,敬拜,,midnight,,,0,
great-is-thy-faithfulness,祢的信實廣大 Great Is Thy Faithfulness,生命聖詩 18,敬拜,,midnight,,,0,
you-are-my-all-in-all,祢是我的一切 You Are My All in All,,敬拜,,midnight,,,0,
when-i-look-into-your-holiness,每當我瞻仰祢 When I Look into Your Holiness,傳耶穌,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/new_songs_ringing_307.html
jesus-you-have-overcome,耶穌袮已得勝 Jesus You Have Overcome,天韻詩歌,敬拜,,midnight,,,0,https://www.youtube.com/watch?v=cwURDf2TJj4
here-i-am-to-worship,我在這裡敬拜 Here I Am to Worship,Tim Hughes,敬拜,,midnight,,,0,
for-your-name-is-holy,因為祢是聖潔 For Your Name is Holy,Paul Wilbur,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c4277.html
rain-of-blessings,主賜福如春雨 Rain of Blessings,讚美之泉,敬拜,,midnight,,,0,
my-lord-is-the-bright-mroning-star,主如明亮晨星 My Lord is the Bright Mroning Star,,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c0791.html
at-the-cross-love-ran-red,在十架（愛湧流） At The Cross (Love Ran Red),Chris Tomlin,敬拜,,midnight,,,0,https://www.youtube.com/watch?v=SUvpBphq5og
i-live-to-worship-you,活著為要敬拜祢 I Live to Worship You,讚美之泉,敬拜,,midnight,,,0,
the-church-s-one-foundation,教會獨一的根基 The Church's One Foundation,生命聖詩 215,敬拜,,midnight,,,0,
the-lifter-of-my-head,叫我抬起頭的神 The Lifter of My Head,讚美之泉,敬拜,,midnight,,,0,
how-precious-o-lord,"祢慈愛何等寶貴 How Precious, O Lord",Phil Rogers,敬拜,,midnight,,,0,http://christianstudy.com/data/hymns/text/new_songs_ringing_388.html
open-the-eyes-of-my-heart,求祢開啟我心眼 Open the Eyes of my Heart,,敬拜,,midnight,,,0,https://www.youtube.com/watch?v=Z_Tk0pEL7Vk
my-lord-i-worship-you,"我的神我敬拜祢 My Lord, I Worship You",我心旋律,敬拜,,midnight,,,0,
lord-i-praise-with-all-of-my-heart,"我要一心稱謝祢 Lord, I Praise with All of My Heart",讚美之泉,敬拜,,midnight,,,0,
the-hope-of-our-lifes,永恆唯一的盼望 The Hope of Our Lifes,讚美之泉,敬拜,,midnight,,,0,
before-the-throne-of-god-above,在神高天寶座前 Before the Throne of God Above,Sovereign grace,敬拜,,midnight,,,0,
amazing-grace-my-chains-are-gone,"奇異恩典, 不再綑綁 Amazing Grace, My Chains Are Gone",Chris Tomlin,敬拜,,midnight,,,0,
how-deep-the-father-s-love-for-us,天父的愛何等深厚 How Deep the Father’s Love For Us,,敬拜,,midnight,,,0,
where-jesus-is-tis-heaven,"耶穌同在就是天堂 Where Jesus Is, 'Tis Heaven",生命聖詩 335,敬拜,,midnight,,,0,
the-holy-lamb-on-the-throne,坐在寶座上聖潔羔羊 The Holy Lamb on the Throne,有情天,敬拜,,midnight,,,0,
praise-the-lord-o-my-soul,"我的心, 你要稱頌耶和華 Praise the Lord, O My Soul",讚美之泉,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c0352.html
intimate,INTIMATE,,敬拜,,midnight,,,0,
still,安靜 Still,Hillsong,敬拜,,midnight,,,0,
23-psalm-23,詩篇23篇 Psalm 23,我心旋律,敬拜,,midnight,,,0,
abba-father,阿爸父 Abba Father,我心旋律,敬拜,,midnight,,,0,
thanks-to-god,感謝神 Thanks to God,生命聖詩 446,敬拜,,midnight,,,0,
day-by-day,每一天 Day by Day,Oscar Ahnfeldt,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c0139.html
let-me-stay,能不能 Let Me Stay,讚美之泉,敬拜,,midnight,,,0,
your-word,祢的話 Your Word,天韻,敬拜,,midnight,,,0,
thy-word,祢的話 Thy word,Michael W. Smith,敬拜,,midnight,,,0,
gently-listening,輕輕聽 Gently Listening,我心旋律,敬拜,,midnight,,,0,
who-am-i,我是誰 Who am I,Casting Crowns,敬拜,,midnight,,,0,
he-lives,主活着 He Lives,生命聖詩 413,敬拜,,midnight,,,0,
sweet-hour-of-prayer,禱告良辰 Sweet hour of Prayer!,生命聖詩 427,敬拜,,midnight,,,0,
the-path-of-grace,恩典之路 The Path of Grace,讚美之泉,敬拜,,midnight,,,0,
how-could-it-be,何等恩典 How Could It Be,讚美之泉,敬拜,,midnight,,,0,
a-mighty-fortress-is-our-god,堅固保障 A Mighty Fortress Is Our God,生命聖詩 50,敬拜,,midnight,,,0,
into-my-heart,請主進入我心 Into My Heart,生命聖詩 50,敬拜,,midnight,,,0,
leaning-on-the-everlasting-arms,靠主膀臂 Leaning on the Everlasting Arms,生命聖詩 424,敬拜,,midnight,,,0,
olives-that-have-known-no-pressure,煉我愈精 Olives That Have Known No Pressure,,敬拜,,midnight,,,0,
i-am-strengthened-in-him,滿有能力 I Am Strengthened in Him,讚美之泉,敬拜,,midnight,,,0,
shine-jesus-shine,哦!主發光 Shine Jesus Shine,Graham Kendrick,敬拜,,midnight,,,0,
count-your-blessings,數算主恩 Count Your Blessings,生命聖詩 445,敬拜,,midnight,,,0,
he-hideth-my-soul,祂藏我靈He Hideth My Soul,,敬拜,,midnight,,,0,
he-knows-my-name,祂认得我 He Knows My Name,Tommy Walker,敬拜,,midnight,,,0,
come-lord-jesus,"我願祢來 Come, Lord Jesus",以斯拉,敬拜,,midnight,,,0,https://www.youtube.com/watch?v=Jxff_JudUr0
give-thanks,獻上感恩 Give Thanks,,敬拜,,midnight,,,0,
home-of-my-heart,心的歸屬 Home of my Heart,新心音樂,敬拜,,midnight,,,0,
the-evening-sacrifice,馨香晚祭 The Evening Sacrifice,讚美之泉,敬拜,,midnight,,,0,
what-a-friend-we-have-in-jesus,耶穌恩友 What a Friend We Have in Jesus,生命聖詩 433,敬拜,,midnight,,,0,
my-faith-looks-up-to-thee,信心仰望 My Faith Looks up to Thee,生命聖詩 296,敬拜,,midnight,,,0,
jesus-i-come,"耶穌，我來 Jesus, I Come",生命聖詩 207,敬拜,,midnight,,,0,
ebenezer,以便以謝 Ebenezer,黃國倫,敬拜,,midnight,,,0,
one-thing,一生一世 One Thing,我心旋律,敬拜,,midnight,,,0,http://christianstudy.com/data/hymns/text/c4034.html
because-he-lives,因祂活著 Because He Lives,Bill Gaither,敬拜,,midnight,,,0,
his-grace-aboundeth-more,主恩更多 His Grace Aboundeth More,頌主聖歌,敬拜,,midnight,,,0,https://www.zanmeishi.com/tab/25562.html
love-joy-and-life,"愛喜樂生命 Love, Joy and Life",讚美之泉,敬拜,,midnight,,,0,
draw-me-nearer,更親近恩主 Draw Me Nearer,生命聖詩 370,敬拜,,midnight,,,0,
marks-of-grace,恩典的記號 Marks Of Grace,泥土音樂,敬拜,,midnight,,,0,
abundant-life,豐盛的人生 Abundant Life,讚美之泉,敬拜,,midnight,,,0,
rain-down,降下祢恩雨 Rain Down,約書亞樂團,敬拜,,midnight,,,0,http://www.christianstudy.com/data/hymns/text/c4389.html
the-grace-of-redemption,救赎的恩典The Grace of Redemption,讚美之泉,敬拜,,midnight,,,0,
you-are-the-vine,祢是葡萄樹 You Are the Vine,Danny Daniels & Randy Rigby,敬拜,,midnight,,,0,
god-will-make-a-way,神要開道路 God Will Make a Way,Don Moen,敬拜,,midnight,,,0,
god-hath-not-promised,神未曾應許 God Hath Not Promised,教會聖詩,敬拜,,midnight,,,0,
we-long-to-see-you,我渴望看見 We Long to See You,讚美之泉,敬拜,,midnight,,,0,http://christianstudy.com/data/hymns/text/c5911.html
the-eternal-answer,永恆的答問 The Eternal Answer,天韻,敬拜,,midnight,,,0,
face-to-face,與主面對面 Face to Face,生命聖詩 486,敬拜,,midnight,,,0,
all-the-way-my-saviour-leads-me,主凡事引導 All the Way My Saviour Leads Me,生命聖詩 313,敬拜,,midnight,,,0,
